commit_hash,author,date,msg,file,file_path,lines_added,lines_deleted,complexity,nloc,is_bug_fix
cfbea95646cf8fd792483a71c1b395c846da694e,Flare3416,2025-08-14 23:04:08+05:30,Initial commit from Create Next App,.gitignore,.gitignore,41,0,,,0
cfbea95646cf8fd792483a71c1b395c846da694e,Flare3416,2025-08-14 23:04:08+05:30,Initial commit from Create Next App,README.md,README.md,36,0,,,0
cfbea95646cf8fd792483a71c1b395c846da694e,Flare3416,2025-08-14 23:04:08+05:30,Initial commit from Create Next App,favicon.ico,app/favicon.ico,0,0,,,0
cfbea95646cf8fd792483a71c1b395c846da694e,Flare3416,2025-08-14 23:04:08+05:30,Initial commit from Create Next App,globals.css,app/globals.css,26,0,,,0
cfbea95646cf8fd792483a71c1b395c846da694e,Flare3416,2025-08-14 23:04:08+05:30,Initial commit from Create Next App,layout.js,app/layout.js,29,0,1.0,25.0,0
cfbea95646cf8fd792483a71c1b395c846da694e,Flare3416,2025-08-14 23:04:08+05:30,Initial commit from Create Next App,page.js,app/page.js,103,0,1.0,101.0,0
cfbea95646cf8fd792483a71c1b395c846da694e,Flare3416,2025-08-14 23:04:08+05:30,Initial commit from Create Next App,eslint.config.mjs,eslint.config.mjs,14,0,0.0,10.0,0
cfbea95646cf8fd792483a71c1b395c846da694e,Flare3416,2025-08-14 23:04:08+05:30,Initial commit from Create Next App,jsconfig.json,jsconfig.json,7,0,,,0
cfbea95646cf8fd792483a71c1b395c846da694e,Flare3416,2025-08-14 23:04:08+05:30,Initial commit from Create Next App,next.config.mjs,next.config.mjs,4,0,0.0,2.0,0
cfbea95646cf8fd792483a71c1b395c846da694e,Flare3416,2025-08-14 23:04:08+05:30,Initial commit from Create Next App,package-lock.json,package-lock.json,6102,0,,,0
cfbea95646cf8fd792483a71c1b395c846da694e,Flare3416,2025-08-14 23:04:08+05:30,Initial commit from Create Next App,package.json,package.json,23,0,,,0
cfbea95646cf8fd792483a71c1b395c846da694e,Flare3416,2025-08-14 23:04:08+05:30,Initial commit from Create Next App,postcss.config.mjs,postcss.config.mjs,5,0,0.0,4.0,0
cfbea95646cf8fd792483a71c1b395c846da694e,Flare3416,2025-08-14 23:04:08+05:30,Initial commit from Create Next App,file.svg,public/file.svg,1,0,,,0
cfbea95646cf8fd792483a71c1b395c846da694e,Flare3416,2025-08-14 23:04:08+05:30,Initial commit from Create Next App,globe.svg,public/globe.svg,1,0,,,0
cfbea95646cf8fd792483a71c1b395c846da694e,Flare3416,2025-08-14 23:04:08+05:30,Initial commit from Create Next App,next.svg,public/next.svg,1,0,,,0
cfbea95646cf8fd792483a71c1b395c846da694e,Flare3416,2025-08-14 23:04:08+05:30,Initial commit from Create Next App,vercel.svg,public/vercel.svg,1,0,,,0
cfbea95646cf8fd792483a71c1b395c846da694e,Flare3416,2025-08-14 23:04:08+05:30,Initial commit from Create Next App,window.svg,public/window.svg,1,0,,,0
7cbb7407752cbadb248c2c5632238871d2f69cf0,Flare3416,2025-08-15 02:02:54+05:30,"Add Bountera landing page with modern UI components

Replaces the default Next.js template with a custom landing page for Bountera, featuring new sections (Hero, Features, Top Creators, CTA, Footer) and animated backgrounds. Adds multiple new React components, enhanced global styles with Tailwind CSS and custom animations, and updates the README with project details and instructions. Removes unused SVG assets and introduces configuration for shadcn/ui components.",README.md,README.md,57,23,,,1
7cbb7407752cbadb248c2c5632238871d2f69cf0,Flare3416,2025-08-15 02:02:54+05:30,"Add Bountera landing page with modern UI components

Replaces the default Next.js template with a custom landing page for Bountera, featuring new sections (Hero, Features, Top Creators, CTA, Footer) and animated backgrounds. Adds multiple new React components, enhanced global styles with Tailwind CSS and custom animations, and updates the README with project details and instructions. Removes unused SVG assets and introduces configuration for shadcn/ui components.",globals.css,app/globals.css,328,16,,,1
7cbb7407752cbadb248c2c5632238871d2f69cf0,Flare3416,2025-08-15 02:02:54+05:30,"Add Bountera landing page with modern UI components

Replaces the default Next.js template with a custom landing page for Bountera, featuring new sections (Hero, Features, Top Creators, CTA, Footer) and animated backgrounds. Adds multiple new React components, enhanced global styles with Tailwind CSS and custom animations, and updates the README with project details and instructions. Removes unused SVG assets and introduces configuration for shadcn/ui components.",globals_clean.css,app/globals_clean.css,317,0,,,1
